"fairelec","contrib","concede","equalvote","turnout","equalrights","speech","protest","media","limits","judicial","facts","vote","rating"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Trump",96
4,4,2,NA,NA,NA,4,NA,NA,NA,NA,NA,"Trump",77
NA,NA,NA,NA,3,NA,NA,NA,4,NA,NA,NA,"Harris",39
NA,4,NA,NA,NA,NA,NA,NA,NA,4,4,NA,"Trump",44
NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,"Abstained",66
NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,"Abstained",51
NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,"Harris",70
NA,4,NA,4,NA,4,NA,NA,NA,NA,4,NA,"Trump",73
NA,2,NA,NA,3,NA,NA,4,NA,2,3,NA,"Abstained",52
NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",54
NA,4,2,NA,NA,NA,NA,NA,NA,NA,4,4,"Trump",37
NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,"Abstained",51
4,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,"Trump",85
NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,"Trump",24
NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",80
NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,2,"Abstained",74
NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",40
NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Harris",100
NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,2,"Trump",100
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",49
NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,3,"Trump",80
NA,NA,NA,3,4,NA,NA,NA,NA,4,NA,NA,"Harris",40
NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Trump",60
NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,"Abstained",41
NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,4,"Trump",50
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",30
NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Abstained",25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Trump",37
4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Harris",75
4,2,NA,3,NA,NA,NA,NA,NA,NA,3,NA,"Harris",70
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",90
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",80
NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",62
NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,"Trump",90
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"Trump",0
NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,"Trump",70
NA,3,NA,NA,NA,NA,NA,NA,4,4,NA,4,"Harris",88
4,NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,"Harris",70
NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,"Abstained",70
NA,NA,NA,NA,2,NA,NA,NA,NA,NA,4,NA,"Trump",30
NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,NA,"Abstained",64
NA,4,NA,4,NA,NA,4,NA,4,NA,NA,NA,"Harris",40
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",85
NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,"Harris",82
NA,4,NA,NA,3,NA,NA,NA,NA,NA,3,NA,"Trump",70
3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",49
NA,3,NA,NA,3,NA,NA,NA,NA,NA,4,NA,"Harris",35
NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Trump",82
NA,3,4,NA,NA,3,4,NA,NA,NA,NA,NA,"Trump",80
NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Trump",97
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",86
NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Trump",50
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",54
NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,"Harris",26
NA,NA,NA,NA,NA,4,4,4,3,4,NA,NA,"Trump",60
NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,"Harris",48
NA,NA,3,1,NA,NA,NA,4,NA,NA,NA,NA,"Trump",96
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",75
NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,"Harris",45
4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"Trump",9
NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,"Trump",35
3,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Abstained",85
NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"Abstained",0
4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",94
3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,"Abstained",41
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Harris",10
NA,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"Harris",50
NA,NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,"Harris",74
NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,"Harris",71
NA,NA,4,NA,NA,4,NA,NA,NA,NA,1,NA,"Abstained",0
NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Trump",61
NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,8,"Abstained",72
NA,4,3,NA,3,NA,NA,NA,NA,NA,NA,NA,"Trump",58
NA,NA,4,NA,4,4,NA,NA,NA,NA,4,NA,"Harris",91
NA,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,"Trump",73
4,NA,2,NA,2,NA,NA,NA,NA,NA,NA,3,"Other",80
3,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,"Abstained",36
NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,"Trump",68
NA,NA,NA,NA,NA,NA,3,NA,NA,3,3,NA,"Harris",60
NA,NA,NA,NA,NA,NA,3,NA,4,4,NA,NA,"Harris",85
NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,"Harris",47
4,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,"Trump",80
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Abstained",60
NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,"Harris",75
NA,4,NA,NA,NA,NA,NA,NA,NA,4,3,NA,"Harris",30
4,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,"Harris",82
NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,"Abstained",60
NA,3,NA,3,NA,NA,NA,3,NA,NA,NA,3,"Trump",69
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Trump",70
2,NA,NA,NA,3,NA,NA,NA,3,NA,2,NA,"Harris",44
NA,4,NA,NA,NA,4,4,NA,NA,4,NA,NA,"Harris",75
NA,NA,4,4,NA,NA,4,NA,NA,NA,4,NA,"Harris",79
NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Trump",94
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,"Harris",13
NA,NA,1,4,NA,NA,NA,NA,NA,1,NA,NA,"Trump",50
NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"Abstained",41
NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,"Other",50
NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,"Harris",71
4,NA,1,NA,4,NA,NA,NA,NA,NA,4,NA,"Trump",0
4,NA,3,NA,NA,4,NA,NA,NA,NA,NA,3,"Harris",39
NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,NA,"Abstained",47
NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,"Abstained",22
4,NA,4,NA,NA,NA,NA,NA,NA,NA,4,3,"Trump",75
NA,1,2,1,NA,NA,3,NA,NA,NA,NA,NA,"Abstained",45
NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,"Abstained",60
NA,NA,NA,NA,4,4,3,NA,3,NA,NA,NA,"Harris",95
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Harris",52
NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,"Abstained",45
NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,"Abstained",51
4,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,"Harris",58
NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",87
NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,"Abstained",60
NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,"Abstained",75
NA,NA,NA,4,NA,4,NA,3,NA,NA,NA,NA,"Harris",30
NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,"Harris",52
NA,NA,NA,NA,3,NA,NA,2,NA,3,NA,NA,"Abstained",73
NA,3,NA,NA,NA,2,NA,4,1,NA,NA,NA,"Harris",62
NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,"Harris",75
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Abstained",40
NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,"Trump",3
NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,3,"Harris",65
NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Abstained",40
NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Harris",51
4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Trump",26
4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Trump",90
NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Harris",67
NA,NA,NA,4,NA,NA,4,NA,4,4,NA,NA,"Harris",71
NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,"Harris",50
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Harris",88
NA,4,NA,NA,NA,NA,NA,NA,4,4,NA,4,"Trump",90
4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,4,"Harris",51
4,4,NA,NA,NA,NA,NA,3,NA,NA,NA,4,"Trump",25
1,NA,2,NA,NA,NA,NA,NA,NA,3,NA,NA,"Abstained",49
NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,"Abstained",43
NA,2,NA,4,4,4,NA,NA,3,NA,NA,NA,"Harris",50
NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"Abstained",49
2,4,NA,NA,NA,NA,NA,NA,NA,2,NA,2,"Abstained",40
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",70
NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,"Harris",70
4,NA,NA,2,NA,NA,NA,3,NA,2,NA,NA,"Trump",73
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Trump",62
NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,"Harris",59
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",91
NA,NA,NA,4,NA,NA,NA,3,NA,NA,3,NA,"Harris",74
NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,"Trump",43
NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,"Trump",34
NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,"Trump",64
NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",50
2,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,"Harris",56
NA,NA,4,NA,NA,3,NA,NA,2,NA,NA,NA,"Harris",75
NA,NA,1,3,NA,4,4,NA,NA,NA,NA,NA,"Harris",3
4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",93
NA,3,NA,3,NA,NA,3,NA,3,NA,NA,NA,"Trump",74
3,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,"Harris",80
NA,NA,NA,4,NA,NA,NA,3,NA,4,NA,3,"Trump",65
NA,3,NA,2,NA,NA,NA,2,NA,NA,3,NA,"Abstained",46
NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Harris",51
4,NA,2,4,NA,NA,4,NA,NA,NA,NA,NA,"Trump",90
NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"Harris",59
NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Harris",5
NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,4,"Harris",100
4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Harris",67
NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,"Harris",60
NA,NA,NA,3,NA,4,3,NA,NA,NA,NA,NA,"Trump",76
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",69
NA,1,NA,NA,NA,NA,NA,3,NA,2,NA,NA,"Trump",70
NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",40
NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,2,"Abstained",72
4,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,"Abstained",60
4,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Abstained",25
4,NA,4,NA,4,NA,NA,NA,NA,NA,4,NA,"Harris",37
NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Abstained",84
NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Trump",85
4,3,NA,4,NA,NA,NA,NA,4,NA,NA,NA,"Harris",55
NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,4,"Trump",60
NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,"Harris",65
NA,NA,NA,4,3,NA,NA,NA,NA,4,NA,NA,"Harris",11
NA,NA,NA,4,NA,4,NA,3,NA,4,NA,NA,"Harris",32
NA,4,4,NA,NA,2,NA,NA,NA,NA,NA,4,"Trump",54
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",66
NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",64
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",48
NA,NA,NA,NA,NA,NA,3,NA,NA,4,3,NA,"Trump",96
NA,NA,4,NA,NA,NA,NA,NA,3,NA,2,2,"Trump",20
NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,"Harris",72
NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,"Harris",70
NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,"Harris",70
NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,"Trump",57
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,"Harris",80
NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",53
4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,"Harris",69
NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Harris",65
NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,"Harris",91
NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",50
NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Trump",95
NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Harris",64
NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,"Harris",73
4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Trump",49
NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,"Trump",74
NA,NA,NA,NA,3,NA,NA,NA,3,4,4,NA,"Abstained",73
NA,NA,3,4,NA,NA,3,NA,NA,4,NA,NA,"Harris",12
NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"Trump",100
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"Harris",66
4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Abstained",94
NA,NA,3,NA,NA,NA,NA,NA,2,NA,3,NA,"Harris",79
NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Trump",50
NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Harris",40
NA,NA,2,4,NA,3,NA,4,3,NA,NA,NA,"Harris",70
NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,"Trump",50
NA,NA,NA,2,NA,NA,NA,4,NA,NA,4,1,"Harris",38
4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"Trump",50
NA,NA,NA,4,NA,4,4,NA,NA,NA,NA,NA,"Harris",62
NA,1,NA,NA,NA,NA,NA,4,NA,NA,3,NA,"Harris",67
NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,"Trump",72
4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Harris",20
NA,NA,NA,4,NA,NA,NA,NA,4,3,NA,NA,"Harris",50
NA,NA,2,NA,NA,4,NA,4,NA,4,NA,NA,"Harris",50
NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",39
4,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,"Harris",30
NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",54
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",43
NA,1,NA,4,NA,3,NA,NA,NA,NA,3,NA,"Trump",71
NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,"Abstained",50
NA,NA,NA,NA,NA,4,4,NA,NA,NA,4,NA,"Trump",69
NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,"Trump",100
NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Trump",48
NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Harris",35
NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,"Harris",48
NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"Trump",70
NA,NA,NA,NA,4,3,NA,NA,3,NA,NA,NA,"Trump",50
NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,"Trump",50
NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2,"Harris",70
NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,"Trump",49
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,"Trump",78
NA,2,NA,NA,NA,1,NA,3,NA,NA,NA,NA,"Trump",0
NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,"Trump",79
NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Trump",80
NA,1,4,NA,NA,NA,NA,NA,NA,NA,4,NA,"Harris",91
NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,2,"Harris",44
NA,2,NA,4,NA,NA,NA,NA,3,NA,NA,NA,"Harris",95
NA,NA,2,NA,NA,NA,4,NA,NA,NA,NA,NA,"Other",53
NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",40
4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"Trump",40
NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,"Harris",51
2,NA,NA,NA,2,NA,4,NA,NA,NA,NA,3,"Harris",84
NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",34
NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,"Harris",58
NA,NA,1,NA,NA,NA,NA,4,NA,3,NA,NA,"Trump",60
NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,"Harris",50
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",31
NA,NA,NA,3,3,2,NA,NA,NA,NA,NA,NA,"Trump",47
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abstained",51
NA,4,NA,4,4,NA,NA,NA,NA,NA,NA,4,"Harris",25
4,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Trump",54
NA,3,NA,NA,3,NA,NA,3,NA,NA,NA,3,"Harris",100
NA,NA,NA,4,NA,NA,4,4,NA,NA,NA,NA,"Harris",89
NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"Trump",40
NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,"Harris",100
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,"Harris",81
NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,"Abstained",51
NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,"Abstained",60
NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,"Harris",46
NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,"Harris",90
NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,"Harris",78
4,NA,NA,4,3,4,NA,NA,NA,NA,NA,NA,"Trump",75
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Harris",80
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trump",38
NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,"Harris",81
NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,"Trump",20
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Abstained",10
NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"Trump",80
3,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,"Trump",11
NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,"Trump",50
NA,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"Trump",71
NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,"Trump",99
NA,4,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,"Trump",90
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Harris",61
NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",89
NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,"Abstained",40
NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,4,"Trump",72
NA,NA,3,NA,NA,NA,2,NA,4,NA,NA,NA,"Harris",24
3,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,"Harris",21
NA,3,NA,NA,3,NA,NA,NA,NA,NA,3,NA,"Trump",89
NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,"Trump",20
NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Trump",89
NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,"Trump",76
NA,NA,4,NA,4,NA,NA,4,NA,NA,NA,NA,"Trump",100
4,NA,NA,NA,4,NA,4,NA,NA,4,NA,NA,"Harris",85
NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,"Other",50
NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,"Other",75
NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,"Other",49
NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,"Trump",60
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,"Harris",49
NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"Trump",87
NA,3,NA,NA,NA,4,NA,NA,NA,NA,4,NA,"Harris",60
NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,"Harris",75
3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harris",50
NA,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,"Trump",46
NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,4,"Harris",9
3,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,"Trump",0
