Country,Year_1,Month_1,type,Event Category,EventDescription
Albania,2008,April,Symptom,Revision of the constitution,"Championed by the Democratic and Socialist parties (majority parties) under the guise of EU accession, constitutional changes are made to the electoral system, from a mixed-member system where 100 members were elected directly and remaining 40 were chosen by the parties in proportion to the national vote to a regional-proportional system with 12 regions as constituencies with a set amount of seats to fill. This drastically favored the majority parties who held 136 seats in 2009 (95% of parliamentary seats with only 85% of the popular voted), compared to 98 in 2008. The modifications also changed the method of election for the president, where parliament needed only a simple majority rather than a 3/5 majority to elect a president if the voting reached the 4th round, reducing the need for the president to seek cross-party support."
Albania,2008,April,Symptom,Reduction in judicial independence,"The new amendments to the constitution meant the President only required a majority vote to be elected, and since the President selects judges, this increased the politicization of the judiciary"
Albania,2009,January,Precursor,Media bias,"The International Election Observation Mission finds a lack of editorial independence and observes the broadcasting of media ""produced and provided"" by political parties during the 2009 election cycle. Despite a section in the constitution dedicated to media freedom and a Media Monitoring Board to supervise the partisanship of the media, members voted with the majority parties and media ownership and supervision was not transparent."
Albania,2009,April,Resistance,Pressure from outside actor,"Albania works towards Accession into the European Union, focusing on areas of reform deemed necessary by member nations (like France) including in economic policy, human rights, anti-corruption measures and the rule of law"
Albania,2009,June,Precursor,Polarization,The Socialist Party boycotted the parliament for six months after their demand for a recount of the 2009 parliamentary election was denied
Albania,2009,June,Precursor,Electoral fraud and voter suppression,"During the 2009 parliamentary election, one-third of ballot counting locations reported irregularities and 33 out of 4753 voting precincts had their votes removed from the final count, and international election monitors found a number of ballot boxes to be ""irregular""."
Albania,2009,June,Precursor,Electoral fraud and voter suppression,Five election commissioners from the Democratic Party were jailed for electoral fraud in the 2009 parliamentary election
Albania,2009,June,Precursor,Rejecting election results,The Socialist Party claimed the 2009 parliamentary election to be rigged following reports of electoral irregularities
Albania,2009,June,Precursor,Co-optation of the opposition,"As a result of constitutional changes (see above), minority parties struggle to gain control and are forced to join coalitions with majority parties or exit the political arena."
Albania,2009,November,Resistance,Nonviolent protest,Thousands of Socialist Party followers protested in the capital in support of the Socialist Party boycott of the parliament aand demanding a recount or new election.
Albania,2009,November,Precursor,Lack of legitimacy,"Following the election, the losing Socialist Party refuses to accept the Democratic Party's election, leading to a 7 month long Parliamentary boycott and demands to reopen ballot boxes. Stalemate causes the EU to lose confidence in Albania's democracy, and fuels deep polarization even leading to the death of 3 people in pro and anti-government counter-protests encouraged by politicians on both sides."
Albania,2009,Unknown,Precursor,Economic shocks and health shocks,Albania experienced a decline in its GDP growth rate and an increase in its unemployment rate in the aftermath of the 2008 financial crisis
Albania,2009,Unknown,Precursor,Electoral boycott,"Following the 2009 parliamentary
elections, the now PS-led opposition coalition declared a boycott of parliament until the ruling
PD-led majority acceded to its demands for an investigation into electoral fraud and a repeat of
the election.18 The boycott lasted for 6 months, only ending when it the opposition was faced
with not seated a single MP in parliament."
Albania,2009,Unknown,Precursor,Electoral violence,Two people were killed in the lead-up to the 2009 parliamentary election
Albania,2009,NA,Symptom,Systemic reduction in election freedom and fairness,"New electoral system required identity cards or passports to vote, disenfranchising about 300,000 citizens (over 10% of the population). The ruling Democratic Party is confirmed by the Election Observation Mission to have selectively issued identity cards and cut costs for DP voters and supportive regions."
Albania,2010,May,Resistance,Nonviolent protest,"Roughly 200 of the Socialist-led opposition went on hunger strike in the capital, Tirana, demanding the opening of the irregular ballot boxes"
Albania,2010,NA,Precursor,Electoral fraud and voter suppression,"The incumbent mayor of Tirana won the race by just 10 votes, and extra votes that were misfiled were included such that the Democratic Party candidate won"
Albania,2010,NA,Precursor,Lack of legitimacy,"Members of the Socialist Party continued to boycott Parliament without the opening of the irregular ballot boxes, creating a political stalemate in the country while it was trying to enter the EU"
Albania,2011,January,Precursor,Delegitimizing or weakening judiciary,The police refused to enforce the warrants and arrest the six national guard officers deemed responsible for shooting and killing protesters. Prime Minister Sali Berisha said the police would not enforce the arrest orders and went as far as to accuse the chief prosecutor of being part of a failed coup orchestrated by opposition leader Edi Rama
Albania,2011,January,Precursor,State-conducted violence or abuse,The police killed 4 Socialist protesters who were demonstrating in front of the prime minister's office
Albania,2011,January,Precursor,Vertical corruption,"A video secretly taken by the Economy Minister Dritan Prifti showed Deputy Prime Minister Ilir Meta asking Prifti to cancel a tender by state-owned Albpetrol to help another company take part, and to give a concession for a hydro-electric plant to another company despite an ongoing court review. Berisha denounced the video and said it was fabricated by opposition Socialists"
Albania,2011,January,Precursor,State-conducted violence or abuse,Members of the National Guard were implicated in the deaths of 4 protesters and the injuries of dozens more after shooting at protesters. Arrest warrants were issued for six high ranking National Guard officers that led the operation
Albania,2011,May,Resistance,Nonviolent protest,Supporters of Edi Rama protested the electoral commission and its decision to include misfiled ballots
Albania,2011,May,Symptom,Systemic reduction in election freedom and fairness,Democratic Party appointees in the Central Election Commission claimed that certain votes in the Tirana mayoral election were left uncounted due to being placed in the incorrect ballot boxes. They performed a recount that reversed the result of the race and led DP candidate Lulzim Basha to win the race over SP candidate Edi Rama. The recount members were made up of 4 individuals chosen by the majority party and 3 by the opposition.
Albania,2011,May,Precursor,Polarization,The Socialist Party boycotted the Parliament once again following disputes over the result to the Tirana mayoral election
Albania,2011,May,Precursor,Polarization,Incumbent Edi Rama claimed his opponent stole the election after a ruling determining that Rama had lost
Albania,2011,September,Resistance,Pressure from outside actor,EU Foreign Ministers met with Socialist Party and Democratic Party leaders to facilitate a cooperation between them on electoral reforms
Albania,2011,Unknown,Precursor,Media bias,"The government provides half of the budget for one of the country's largest news providers, Albanian Radio and Television. The outlet is known for its pro-government bias"
Albania,2011,Unknown,Resistance,Increase in electoral integrity,"The Socialist Party and the Democratic Party came together to implement a series of electoral reforms, including replacing the head of the Central Election Commission and establishing electronic voter registration and ballot counting mechanisms"
Albania,2011,NA,Resistance,Violent protest,"20,000 protesters demanded early elections following the corruption scandal and subsequent resignation Deputy PM Meta, 4 protesters died and dozens were injured"
Albania,2012,October,Resistance,Pressure from outside actor,The European Commission recommended Albania receive EU candidate status with the condition of judicial and public administration reform along with revision of parliamentary procedures
Albania,2013,June,Resistance,Pressure from outside actor,"The EU demanded free and fair elections in order to continue the process of candidacy for Albania to join the EU (which promises grants, contracts and economic support currently, in addition to other benefits if they achieve membership), and the Albanian government peacefully transferred power from the Democratic Party to the Socialist Party in 2013."
Albania,2013,Unknown,Precursor,Horizontal corruption,MP Koco Kok?dhima was found to have used state funds to benefit his personal company
Albania,2015,November,Resistance,State attempts to prevent backsliding,The Albanian parliament proposed a law that would ban people with major criminal convictions from holding public office
Albania,2015,Unknown,Symptom,Media repression,A 2015 report found that more than half of the journalists surveyed engaged in routine self-censorship due to concerns of retaliation by the government or organized crime groups
Albania,2016,February,Resistance,Check on executive by judiciary,"Judicial reform is voted in to improve the judicial branch, which decentralized the prosecution system and implemented vetting systems and systems for handling corruption."
Albania,2016,July,Resistance,State attempts to prevent backsliding,The parliament passed Constitutional amendments to vastly reform the judiciary to meet EU standards. Judges would now be chosen on merit by an independent international council rather than the President and then had to be confirmed by a two-thirds majority of parliament. The legislation also included increased measures for combatting judicial corruption
Albania,2016,Unknown,Symptom,Candidate selection,"Ahead of the 2017 Parliamentary Elections, criminal organization leaders (including Astrit Advylaj) influence the selection of candidates for the ruling Socialist Party (PS)
"
Albania,2016,Unknown,Precursor,Vertical corruption,"Former Supreme Court Justice Majlinda Andrea, prosecutor Haxhi Giu, and Justice Shkelqim Miri were convicted of taking bribes"
Albania,2016,Unknown,Precursor,Electoral fraud and voter suppression,"An EU funded study recently found that between 2016 and 2019, 20.7% of Albanian voters were offered money in exchange for their votes, typically by criminal organizations allied with politicians & candidates for office."
Albania,2016,Unknown,Resistance,Pressure from outside actor,"In 2016, under “severe pressure” from Brussels, the Albanian Parliament, with feedback from the Venice Commission of the Council of Europe, unanimously passed a constitutional amendment to reform the judiciary."
Albania,2016,Unknown,Precursor,Vertical corruption,One BBC report found that Albania’s illicit cannabis industry brings in as much as half of the country’s GDP.
Albania,2016,Unknown,Precursor,Horizontal corruption,"One of these former interior ministers, Saimir Tahiri, was quoted in a 2016 interview with the BBC saying that since day one
in office, 20% of the national police force has been under criminal or disciplinary
investigations."
Albania,2016,Unknown,Resistance,State attempts to prevent backsliding,"The government passed a landmark judicial reform bill, which establishes an anti-corruption prosecutor office and stipulates that all judges and prosecutors must undergo a vetting process"
Albania,2017,February,Precursor,Lack of legitimacy,"The Democratic Party claimed that elections had been stolen from them over the time the opposition Prime Minister had been in power, and refused to participate in the parliament or election"
Albania,2017,May,Resistance,Pressure from outside actor,The Democratic Party agreed to participate in elections following intensive discussions with the Socialist Party that were mediated by senior U.S. and European Union officials
Albania,2017,June,Precursor,Electoral fraud and voter suppression,Voice of America released wiretaps by The Prosecution Office for Serious Crime showing the role of criminal gangs in vote buying during the 2017 Parliamentary Election and their collusion with Socialist Party MPs.
Albania,2017,June,Resistance,Increase in electoral integrity,"The international mediation that ended the standoff between the two parties was because of an agreement in which the Democratic Party agreed to participate in the 2017 parliamentary elections in exchange for several key positions, including ministries and the chairperson for the Central Electoral Commission."
Albania,2017,June,Precursor,Electoral boycott,"In the June 2017 election, the Democratic Party and their allies boycotted the elections and said that they would not participate unless a new interim government was formed."
Albania,2017,November,Symptom,Reduction in legislative oversight,"Socialist MPs blocked a request to arrest the Minister of the Interior Saimir Tahiri, who was accused of aiding the illicit production of cannabis."
Albania,2018,January,Resistance,Nonviolent protest,"Student protests erupted due to an executive order issued by the government which raised fees for students who had to retake exams, which was passed in secret and came after another law passed three years earlier that encouraged competition between private and public universities by allowing private universities to receive government funding if the universities register as non-profits."
Albania,2018,January,Precursor,Media bias,Prime Minister Edi Rama verbally delegitimized a report that Voice of America published claiming that the Prime Minister and his party committed electoral fraud.
Albania,2018,May,Precursor,Polarization,"Prime Minister Edi Rama accused the opposition of committing ""an unprecedented act of historic betrayal of this country"" and being ""true traitors to the citizens"" for planning an anti-government protest"
Albania,2018,May,Precursor,Polarization,"The parliament blocked the request of the prosecution office to arrest former Interior Minister Saimir Tahiri on corruption charges, with the vote falling along party lines"
Albania,2018,October,Symptom,Media repression,Prime Minister Edi Rama introduced a slate of anti-slander laws targeting opposing webpages.
Albania,2018,Unknown,Precursor,Horizontal corruption,"Mr. Tahiri was himself arrested in 2018 for alleged involvement in a drug
trafficking ring uncovered by an Italian police wiretap."
Albania,2018,Unknown,Precursor,Media bias,A 2018 report revealed that half of the audience share of the Albanian TV market was controlled by 4 major owners and 30% of the audience share of print media was controlled by a single owner
Albania,2019,January,Resistance,Nonviolent protest,The Democratic Party staged protests demanding the resignation of Prime Minister Edi Rama after a prosecution office report revealed that the Socialist Party had engaged in vote-buying in the 2017 election.
Albania,2019,February,Precursor,Polarization,57 out of 65 opposition MPs resigned from the parliament after the Socialist Party was revealed to have engaged in vote-buying in the 2017 election
Albania,2019,June,Precursor,Electoral boycott,"the Democratic Party (PD) and Socialist Movement of Integration (LSI) boycotted elections, causing the ruling Socialist Party (PS) to win most of the contested mayoral and council seats up for election. Turnout was only 21.6%.
"
Albania,2019,June,Precursor,Lack of legitimacy,"After the leaking of corrupt phone conversations between organized crime leaders and officials from the ruling Socialist Party (PS), Albanians, especially from opposition parties, viewed their government as corrupt and boycotted the 2019 elections"
Albania,2019,June,Symptom,Systemic reduction in election freedom and fairness,"The Democratic Party boycotted the June 2019 municipal election, leading the Socialist Party to run unopposed in 35 out of 61 districts and won in all except one district"
Albania,2019,June,Precursor,Electoral fraud and voter suppression,The Socialist Party was found to have collaborated with a drug-trafficking ring to manipulate the results of the election
Albania,2019,June,Precursor,Lack of legitimacy,"The turnout for the election was just 20% and the OSCE concluded that the elections were held without regard for the interests of the people, as in over half of the districts the only party on the ballot was the Socialist Party"
Albania,2019,June,Precursor,Lack of legitimacy,The opposition Democratic Party boycotted the parliamentary elections after claiming the other party was corrupt and buying votes
Albania,2019,June,Symptom,No-confidence votes or decreased voter turnout,Countrywide turnout was near 20% with some districts as low as 7%
Albania,2019,June,Symptom,Suspension of laws or the constitution,President Ilir Meta cancelled the June elections following an opposition boycott
Albania,2019,July,Precursor,Vertical corruption,"German newspaper Bild publishes a report on a conversation about influencing the 2017 parliamentary election between officials of the ruling Socialist Party (PS) and Astit Advylaj, the leader of an Albanian criminal organization
"
Albania,2019,December,Symptom,Media repression,The government passed an anti-defamation law that gives its regulatory agency the power to fine or shut down any media outlets deemed to be publishing defamatory information without a court order.
Albania,2019,Unknown,Symptom,Media repression,"The reports resulted in immediate backlash
against the media by PS Prime Minister Edi Rama, who tweeted that he will sue Peter Tiede, the
German journalist who published the wiretapped conversations.30 Following these scandals, the
government has gone on to pass an extremely restrictive anti-defamation law criticized as a form
of government censorship."
Albania,2019,Unknown,Symptom,Weakened civil service or integrity institutions,"This precedent was subsequently reaffirmed in February of 2019, when the entire PD
resigned from parliament as a means of fighting PM Rama’s PS government, which PD party-
leader Lulzim Basha alleged had come about “through the votes of the crime and the mafia.”"
Albania,2019,Unknown,Precursor,Polarization,"As of March 2019, the Albanian parliament has no opposition, and for the first time in Albanian history, the an opposition party has taken the nuclear option of fully relinquishing its
parliamentary mandates."
Albania,2019,Unknown,Symptom,Media repression,Prime Minister Edi Rama filed a defamation lawsuit against journalist Ylli Rakipi for criticizing him in an opinion piece
Albania,2019,NA,Resistance,Pressure from outside actor,The EU and US supported anti-corruption vetting of the Constitutional Court that was required for compliance with EU criteria
Albania,2020,March,Resistance,Nonviolent protest,"Thousands of Albanians have rallied against the country's left-wing government, responding to a call from President Meta who accused it of violating the constitution and of links to organized crime"
Albania,2020,March,Symptom,Reduction in judicial independence,"The Socialist Party approved candidates for the six seats on the Constitutional Court that were vacated as a result of anti-corruption vetting, which people viewed as a politically motivated stacking of the judiciary"
Albania,2021,April,Precursor,Polarization,"The Socialist Party won the 2021 parliamentary election, yet its victory was met with strong opposition by the other parties, with one leader remarking that the election was won by ""the oligarchs and the gangs"""
Algeria,2000,Unknown,Symptom,Reduction in legislative oversight,"Bouteflika’s presidency consistently marginalized parliament, as presidential decrees became the primary means of legislation, resulting in the stifling of opposition power and the suffocation of political debate."
Algeria,2006,Unknown,Symptom,Curtailed civil liberties,A 2006 law criminalised public discussion of the thousands who have disappeared while under custody of the state.
Algeria,2008,Unknown,Symptom,Relaxation of term limits,"in 2008, Bouteflika facilitated a series of
constitutional amendments that would permit him to run for a third, fourth, and fifth presidential
term."
Algeria,2009,Unknown,Symptom,Curtailed civil liberties,"Meanwhile, preventative detention is widely practised, with approximately 4,000 people held in long-term (twenty to sixty months) preventative detention in 2009 alone."
Algeria,2010,Unknown,Precursor,Vertical corruption,"During Bouteflika’s presidency, military
officers affiliated with the FLN regime were frequently accused of abusing authority for personal
economic gain, syphoning the profits from public enterprises, and stealing public funds."
Algeria,2016,February,Resistance,Check on executive by legislature,"Algerian legislature passed broad reforms of the constitution, including a law limiting the President to only two terms"
Algeria,2019,February,Resistance,Nonviolent protest,"A massive wave of ongoing anti-government and pro-democracy protests known as the Hirak movement begins, initially focused in opposition to the sitting president seeking a fifth term"
Algeria,2019,March,Destabilizing Event,Coup or regime collapse,"On 28 March 2019, the
Algerian Minister of Defence and Chief of Staff for the army, Ahmed Gaid Salah, publicly called upon the constitutional council to invoke Article 102 of the Algerian constitution, which gives the
council the authority to remove the president from his post before the end of his term."
Algeria,2019,December,Precursor,Electoral fraud and voter suppression,"After Bouteflika’s resignation, his ally Abdelkader Bensalah served as interim President until December of the same year, when the FLN staged a controlled ballot with five candidates, none
of which were regime outsiders. The victory of any one of them would represent continuity in the
FLN’s power. Abdelmadjid Tebboune, longtime member of FLN and a close ally of General. Ahmed Gaid Salah, the army’s chief of staff, was elected to office."
Algeria,2019,Unknown,Destabilizing Event,Coup or regime collapse,"After losing the support of the armed forces, Bouteflika resigned in April 2019, despite his
intention of running for a fifth presidential term."
Algeria,2020,March,Destabilizing Event,Economic shocks and health shocks,"COVID-19 slows economic activity generally and hits Algeria's oil and natural gas exports, a key part of its economy, especially hard"
Algeria,2020,November,Precursor,Electoral boycott,"Less than 24% of the nation votes in a referendum for a new constitution, part of an ongoing electoral boycott and series of protests against the government and particularly protesting that the new constitution does not adequately address protestors concerns"
Algeria,2020,Unknown,Symptom,Curtailed civil liberties,"In 2020, the Algerian Parliament approved a law that criminalises “fake news” that undermines “public order and security”, threatening offenders with one- to five-year prison sentences."
Algeria,2021,April,Symptom,Repression of the opposition,"In April of 2021, the Interior Ministry accused opposition party Union for Change and Progress
of operating without government authorization, and petitioned the judiciary to suspend its
activities alongside the Socialist Workers’ Party."
Algeria,2021,June,Precursor,Electoral boycott,"The Hirak movement, in continual protests of the existing regime, called for protests of the 2021 election, leading to less than a third of eligible voters participating in the election"
Algeria,2021,June,Symptom,Systemic reduction in election freedom and fairness,"Snap parliamentary elections were
most recently held in June 2021 after President Tebboune moved the date forward, originally scheduled for 2022, in response to the Hirak anti-government protests."
Algeria,2021,June,Symptom,Reduction in legislative oversight,"In June 2021, President Tebboune ? honouring Bouteflika’s legacy of legislating via presidential
decree ? amended the penal code to expand upon an already broad definition of terrorism."
Algeria,2021,June,Symptom,Media repression,"In 2021, editor in chief of Radio M and Maghreb Emergent Ihsane El Kadi was placed under court supervision for charges related to undermining national
security, and likewise detained ahead of the June 2021 legislative elections."
Algeria,2021,Unknown,Symptom,Reduction in judicial independence,"In May 2021, the Council expelled Sadedin Merzoug, a Hirak supporter, from the judiciary for
“obstructing justice”."
Algeria,2021,Unknown,Symptom,Media repression,"The government
revoked France 24’s authorisation to operate in Algeria in June 2021, owing to the outlet’s engagement with “repeated hostility” towards Algerian institutions."
Algeria,2021,Unknown,Symptom,Repression of the opposition,"At least 280 activists remain imprisoned on the
basis of vague and arbitrary charges, such as “undermining national unity” and “conspiracy
against state security”."
Algeria,2022,Unknown,Symptom,Repression of the opposition,"According to the Freedom House 2022
report on Algeria, opposition parties play a marginal role in Parliament, while opposition leaders
are regularly subjected to detention and prosecution."
Argentina,2000,Unknown,Symptom,Curtailed civil liberties,"The lack of substantial judicial reform has led to consistent arbitrary arrests, lengthy pretrial detentions, and harsh prison conditions."
Argentina,2001,November,Precursor,Economic shocks and health shocks,"Argentina endures an economic crisis and ensuing depression; millions of middle-class citizens fall into poverty, unemployment rises to over twenty percent, and the country defaults on its $132 billion debt
"
Argentina,2001,December,Precursor,Lack of legitimacy,"Amid massive economic uncertainty as a result of the ongoing recession and debt default, there were five different presidents that led and/or were selected to lead the nation over the span of just two weeks, leading to political uncertainty as well."
Argentina,2001,December,Precursor,Lack of legitimacy,The transfer of presidential power between 3 individuals in 12 days due to protests points to lack of legitimacy in traditional governance structures.
Argentina,2001,December,Precursor,State-conducted violence or abuse,President Fernando de la R?a declared a state of siege and security forces violently repressed protesters
Argentina,2001,December,Resistance,Violent protest,"Citizens riot (banging pots in the streets, looting supermarkets) due to the mismanagement of the economic crisis by the administration of President de la Rua
"
Argentina,2001,December,Precursor,Lack of legitimacy,"President de la Rua resigns amidst protests against the handling of the economic depression by his administration
"
Argentina,2001,December,Precursor,Economic shocks and health shocks,"Amid an economic recession that began in 1998 and lasted into the start of the 21st century, wiping out around 2/3 of the nation's GDP, Argentina defaulted on a total of around $95 billion worth of bonds; at the time, this was the largest default by a country in history."
Argentina,2001,December,Resistance,Violent protest,"Thousands of citizens took to the streets in light of the nation's debt default, demanding the removal of political leaders, with several protesters trying to storm the doors of the Congressional building."
Argentina,2001,December,Precursor,State-conducted violence or abuse,"Attempting to disperse crowds protesting against political leaders and economic uncertainty, police employed the use of tear gas and water cannons throughout the nation."
Argentina,2001,December,Precursor,Economic shocks and health shocks,Argentina defaulted due to the economic crisis
Argentina,2002,June,Precursor,State-conducted violence or abuse,Two protestors were killed by police during protests against President Eduardo Duhalde's government
Argentina,2003,April,Precursor,Party weakness,"The non/anti-Peronist opposition parties fragment and become substantially weaker surrounding the 2003 Presidential Election
"
Argentina,2003,May,Symptom,Suspension of laws or the constitution,President Nestor Kirchner retained the emergency powers delegated to the executive by Congress during the 2001 crisis
Argentina,2003,August,Resistance,Check on executive by legislature,"President Nestor Kirchner leads congress to overturn laws of immunity that had previously protected those responsible for violence in the Dirty War in the 70s and 80s
"
Argentina,2003,October,Resistance,State attempts to prevent backsliding,"Upon entering office, Kirchner removed Menem loyalists from the judiciary and included civil participation in the nomination process."
Argentina,2003,NA,Precursor,Extremist/populist parties,"Kirchner rise relied on populist rhetoric in line with the refrain ""all of them must go,"" a popular response to corruption allegations."
Argentina,2006,August,Symptom,Reduction in judicial independence,"President Nestor Kirchner successfully promoted a law that enhanced executive control over the Magistrates’ Council, the body responsible for overseeing the appointment and removal of federal judges"
Argentina,2006,August,Symptom,Revision of the constitution,Congress granted President Nestor Kirchner power to modify the budget after its legislative approval
Argentina,2007,July,Precursor,Lack of legitimacy,"Former President N?stor Kirchner sought to alternate the presidency with his wife to circumvent the constitution, which bars incumbents from seeking reelection more than once."
Argentina,2007,November,Precursor,Delegitimizing or weakening subnational units,"President Nestor Kirchner opened up new sources of revenue that were not shared between federal and provincial governments, this led to the provinces’ share of overall revenue falling to barely half of what it had been a decade earlier, increasing provincial governments’ dependence on fiscal transfers from the federal government"
Argentina,2007,December,Precursor,Horizontal corruption,"President Kirchner charged with corruption. Reports of public contract given to friends demonstrates executive power, unchecked by legislative during presidency from December 2007- december 2015."
Argentina,2007,Unknown,Precursor,Vertical corruption,Former president Fern?ndez de Kirchner was indicted by a federal judge for accepting bribes from construction firms in exchange for state contracts during her two terms as president
Argentina,2008,NA,Symptom,Media repression,Legislation passed limited the number of licenses any publisher or outlet could obtain.
Argentina,2009,September,Symptom,Media repression,Cristina Kirchner ordered special tax investigations of media organizations that endorsed a farmer revolt in an attempt to harass and intimidate newspapers covering the protests.
Argentina,2009,September,Precursor,Media bias,President Cristina Fern?ndez de Kirchner proposed a media bill that gives the president the authority to appoint most members of a new broadcast regulatory body in charge of granting new media license
Argentina,2010,January,Precursor,Manipulation of civil service,President Cristina Fernandez de Kirchner fired the head of the Central Bank and forced Argentine National Institute for statistics to report lower levels of inflation
Argentina,2010,July,Precursor,Vertical corruption,Vice President Amado Boudou used his influence to save the printing company Caso Ciccone by instructing the revenue service to extend the company an exceptional moratorium on debt repayment
Argentina,2010,July,Resistance,State attempts to prevent backsliding,"Argentina's Senate, on a vote of 33-27, approved a law authorizing same-sex marriages, making it the first nation in Latin America to do so."
Argentina,2010,August,Symptom,Media repression,"President Fern?ndez de Kirchner released a 400-page report attacking Argentina’s two leading newspapers, Clar?n and La Naci?n, for illegally acquiring shares of a newsprint company. She then declared her intention to impose state regulation on newsprint supplies"
Argentina,2012,November,Resistance,Nonviolent protest,Hundreds of thousands of people engaged in a protest against a proposal from Kirchner loyalists to revise the constitution so that Kirchner could run in re-elections
Argentina,2012,Unknown,Precursor,Media bias,"President Fern?ndez de Kirchner made use of cadenas, which are national presidential addresses that pre-empt programming on all radio and television stations, 96 times from 2012 to 2015"
Argentina,2012,Unknown,Precursor,Economic shocks and health shocks,"Argentina experienced a level of inflation estimated to be around 20% to 25%, forcing President Fern?ndez de Kirchner to adopt austerity measures"
Argentina,2012,Unknown,Precursor,Manipulation of civil service,President Fern?ndez de Kirchner asked the National Institute of Statistics to underreport the level of inflation
Argentina,2012,NA,Precursor,Horizontal corruption,"When Vice President Amado Boudou was accused of corruption, rather than leading to legal consequences for the accused, the allegations have resulted in the removal of the presiding judge and resignation of the prosecutor"
Argentina,2012,NA,Symptom,Media repression,President Cristina Fern?ndez de Kirchner has raided the headquarters of Argentine media conglomerate Grupo Clar?n with 200 tax agents
Argentina,2013,May,Precursor,Horizontal corruption,"Cristina and Nestor Kirchner are accused of misusing public funds during their times as President/Vice President
"
Argentina,2013,September,Resistance,Nonviolent protest,"Citizens protest in the capital of Buenos Aires and demand the government take action in response to widespread food shortages 
"
Argentina,2013,October,Symptom,Media repression,"Kirchner, legislative and judiciary pass law to diversify media agencies able to provide news to citizens. Some who say this is promoting media diversity others who say it is punishing opponents of the president.
"
Argentina,2014,July,Precursor,Horizontal corruption,"The legislature, which was controlled by the ruling party, refused to impeach Vice President Amado Boudou even though he was facing formal corruption charges"
Argentina,2014,July,Precursor,Economic shocks and health shocks,"After the administration missed an interest payment, a US judge ruled that Argentina could not distribute funds to creditors unless other corporations were paid on their defaulted debt, leading to economic insecurity once again."
Argentina,2014,July,Precursor,Economic shocks and health shocks,"The government defaults on its debt for the second time in 13 years
"
Argentina,2015,October,Precursor,Electoral fraud and voter suppression,"Vote buying was widespread during both local and national elections
"
Argentina,2015,December,Precursor,Polarization,"Former President Cristina Kirchner refused to attend the inauguration of President Macri, referring to his incoming rule as a coup, further fueling polarization within Argentinian politics. 
"
Argentina,2015,Unknown,Resistance,Coalitions or elite pacts,"Mauricio Marci was able to unite his center-right Republican Proposal party, the social-democratic Radical Civic Union, and the liberal Civic Coalition into a singular coalition originally named Cambiemos, which means ""let's change."" The name was later changed to Juntos Por El Cambio, which means ""together for change."""
Argentina,2016,February,Resistance,Nonviolent protest,"Workers stage strikes, calling for wage increases and firing freezes
"
Argentina,2016,April,Precursor,Horizontal corruption,"The Panama Papers reveal that President Macri held leadership roles in offshore companies that he had failed to disclose to tax authorities
"
Argentina,2016,September,Resistance,Increase in media protections/media liberalization,The Argentine Congress approved an access to information law that permits citizens to request information from state agencies.
